Symptom Description,Disease
"fatigue, coughing, fever, weight loss",Tuberculosis
"frequent urination, fatigue, increased thirst",Diabetes
"insomnia, persistent sadness, loss of interest",Depression
"fever, night sweats, coughing, weight loss",Tuberculosis
"sneezing, congestion, runny nose, sore throat, mild fever",Common Cold
"fever, itching, loss of appetite, fatigue, rash",Chickenpox
"nervousness, restlessness, difficulty concentrating, increased heart rate, sweating",Anxiety
"coughing, shortness of breath, chest tightness",Asthma
"coughing, chest tightness, wheezing",Asthma
"changes in appetite, fatigue, loss of interest, insomnia, persistent sadness",Depression
"chest pain, shortness of breath, fatigue, cough",Pneumonia
"nosebleeds, dizziness, headache, shortness of breath",Hypertension
"coughing, fever, night sweats",Tuberculosis
"chills, cough, muscle aches, fever",Flu
"runny nose, sneezing, rash, itchy eyes, congestion",Allergy
"coughing, weight loss, fever",Tuberculosis
"shortness of breath, dizziness, nosebleeds, headache",Hypertension
"nosebleeds, dizziness, shortness of breath",Hypertension
"shortness of breath, coughing, wheezing, chest tightness",Asthma
"frequent urination, fatigue, increased thirst",Diabetes
"dizziness, headache, nosebleeds",Hypertension
"loss of smell, difficulty breathing, loss of taste",COVID-19
"cough, fatigue, slight fever",Bronchitis
"fatigue, shortness of breath, chest pain",Pneumonia
"loss of interest, changes in appetite, fatigue, persistent sadness",Depression
"rash, loss of appetite, fever, itching",Chickenpox
"blurred vision, weight loss, frequent urination, fatigue",Diabetes
"itchy eyes, rash, runny nose, congestion, sneezing",Allergy
"shortness of breath, slight fever, cough, mucus",Bronchitis
"insomnia, changes in appetite, fatigue, loss of interest, persistent sadness",Depression
"fatigue, coughing, fever",Tuberculosis
"itchy eyes, runny nose, congestion, sneezing, rash",Allergy
"chills, headache, nausea, vomiting, fever",Malaria
"shortness of breath, cough, slight fever, fatigue",Bronchitis
"chills, muscle aches, cough, headache",Flu
"fever, vomiting, nausea, chills",Malaria
"frequent urination, blurred vision, weight loss",Diabetes
"congestion, runny nose, cough, sneezing, sore throat, mild fever",Common Cold
"fever, loss of appetite, itching, fatigue, rash",Chickenpox
"chills, fever, fatigue, muscle aches",Flu
"nervousness, difficulty concentrating, increased heart rate, restlessness, sweating",Anxiety
"fatigue, chest pain, fever, shortness of breath, cough",Pneumonia
"slight fever, fatigue, cough",Bronchitis
"muscle aches, headache, fever",Flu
"headache, sensitivity to sound, vomiting, nausea, sensitivity to light",Migraine
"loss of taste, tiredness, difficulty breathing, fever, loss of smell",COVID-19
"headache, sensitivity to light, nausea, sensitivity to sound",Migraine
"shortness of breath, dizziness, nosebleeds, headache",Hypertension
"vomiting, sensitivity to sound, sensitivity to light, nausea",Migraine
"congestion, rash, sneezing, itchy eyes",Allergy
"sensitivity to light, nausea, vomiting, sensitivity to sound, headache",Migraine
"loss of taste, fever, dry cough, loss of smell, difficulty breathing",COVID-19
"headache, dizziness, shortness of breath",Hypertension
"restlessness, difficulty concentrating, sweating, nervousness, increased heart rate",Anxiety
"sneezing, itchy eyes, rash, congestion",Allergy
"chills, nausea, sweating, vomiting, fever, headache",Malaria
"itchy eyes, congestion, sneezing, runny nose",Allergy
"insomnia, changes in appetite, persistent sadness, loss of interest",Depression
"headache, chills, fever, sweating, vomiting, nausea",Malaria
"headache, nausea, sensitivity to sound, sensitivity to light, vomiting",Migraine
"shortness of breath, wheezing, coughing",Asthma
"runny nose, congestion, rash",Allergy
"chest pain, fatigue, cough, shortness of breath, fever",Pneumonia
"loss of appetite, fatigue, itching",Chickenpox
"sensitivity to sound, nausea, vomiting",Migraine
"congestion, mild fever, sneezing",Common Cold
"mucus, fatigue, slight fever, cough, shortness of breath",Bronchitis
"fever, chest pain, shortness of breath, fatigue",Pneumonia
"rash, itching, fatigue, fever",Chickenpox
"restlessness, difficulty concentrating, sweating, nervousness",Anxiety
"sweating, headache, nausea, fever, chills",Malaria
"cough, congestion, sore throat, sneezing",Common Cold
"shortness of breath, nosebleeds, headache",Hypertension
"increased thirst, fatigue, blurred vision, frequent urination, weight loss",Diabetes
"fatigue, fever, rash",Chickenpox
"congestion, runny nose, itchy eyes",Allergy
"fever, tiredness, loss of smell, difficulty breathing, loss of taste, dry cough",COVID-19
"headache, nausea, vomiting, sweating, chills",Malaria
"chest tightness, shortness of breath, wheezing",Asthma
"loss of interest, fatigue, insomnia, changes in appetite",Depression
"restlessness, nervousness, sweating, increased heart rate, difficulty concentrating",Anxiety
"headache, muscle aches, chills, cough, fever",Flu
"night sweats, coughing, fever",Tuberculosis
"fever, coughing, night sweats",Tuberculosis
"fever, fatigue, chills",Flu
"wheezing, shortness of breath, coughing",Asthma
"chills, vomiting, sweating, fever, headache, nausea",Malaria
"fever, nausea, chills",Malaria
"frequent urination, blurred vision, fatigue, weight loss",Diabetes
"mild fever, runny nose, sneezing",Common Cold
"fever, shortness of breath, cough, fatigue",Pneumonia
"cough, muscle aches, chills, fever",Flu
"sweating, nervousness, increased heart rate",Anxiety
"shortness of breath, headache, nosebleeds",Hypertension
"itchy eyes, congestion, rash, sneezing",Allergy
"chest tightness, wheezing, shortness of breath",Asthma
"itching, loss of appetite, fever, rash, fatigue",Chickenpox
"fatigue, cough, fever, chest pain",Pneumonia
"muscle aches, headache, fatigue, chills, fever, cough",Flu
"nosebleeds, dizziness, headache",Hypertension
"weight loss, night sweats, coughing, fever, fatigue",Tuberculosis
"shortness of breath, fatigue, cough",Bronchitis
"fatigue, weight loss, coughing, night sweats, fever",Tuberculosis
"tiredness, loss of smell, loss of taste, fever, difficulty breathing",COVID-19
"runny nose, congestion, sneezing, itchy eyes",Allergy
"changes in appetite, persistent sadness, loss of interest, fatigue",Depression
"rash, congestion, runny nose, sneezing",Allergy
"wheezing, chest tightness, shortness of breath, coughing",Asthma
"fever, chills, muscle aches, headache, fatigue",Flu
"wheezing, shortness of breath, chest tightness, coughing",Asthma
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"difficulty concentrating, restlessness, sweating, increased heart rate, nervousness",Anxiety
"headache, fever, cough, fatigue",Flu
"shortness of breath, coughing, chest tightness, wheezing",Asthma
"cough, headache, chills, fever, muscle aches",Flu
"nausea, vomiting, sweating",Malaria
"itchy eyes, sneezing, rash, runny nose",Allergy
"coughing, weight loss, night sweats, fever",Tuberculosis
"coughing, fatigue, fever, night sweats",Tuberculosis
"shortness of breath, wheezing, chest tightness",Asthma
"frequent urination, increased thirst, fatigue",Diabetes
"runny nose, congestion, cough, sneezing, mild fever, sore throat",Common Cold
"changes in appetite, fatigue, loss of interest, insomnia",Depression
"sensitivity to sound, nausea, vomiting, headache",Migraine
"restlessness, difficulty concentrating, nervousness, sweating",Anxiety
"sneezing, sore throat, mild fever",Common Cold
"sneezing, runny nose, congestion, cough",Common Cold
"dry cough, fever, tiredness, loss of taste, difficulty breathing",COVID-19
"fever, chest pain, cough, shortness of breath",Pneumonia
"cough, mucus, slight fever",Bronchitis
"coughing, shortness of breath, wheezing",Asthma
"itching, loss of appetite, fatigue, rash, fever",Chickenpox
"loss of taste, fever, difficulty breathing, loss of smell, dry cough",COVID-19
"rash, sneezing, runny nose, itchy eyes, congestion",Allergy
"difficulty concentrating, restlessness, nervousness, sweating",Anxiety
"weight loss, blurred vision, fatigue",Diabetes
"rash, fever, fatigue, loss of appetite, itching",Chickenpox
"fatigue, blurred vision, frequent urination",Diabetes
"chest tightness, shortness of breath, coughing",Asthma
"blurred vision, weight loss, increased thirst, frequent urination, fatigue",Diabetes
"sensitivity to light, vomiting, nausea, sensitivity to sound, headache",Migraine
"blurred vision, weight loss, increased thirst, frequent urination",Diabetes
"wheezing, shortness of breath, coughing",Asthma
"fever, tiredness, loss of taste",COVID-19
"weight loss, blurred vision, frequent urination, fatigue, increased thirst",Diabetes
"fever, fatigue, chest pain, shortness of breath",Pneumonia
"chest pain, fatigue, shortness of breath, cough, fever",Pneumonia
"fever, fatigue, itching, rash",Chickenpox
"fever, chest pain, cough, shortness of breath, fatigue",Pneumonia
"sweating, restlessness, nervousness, increased heart rate",Anxiety
"fatigue, fever, chills, cough, muscle aches, headache",Flu
"loss of smell, tiredness, difficulty breathing, fever, loss of taste",COVID-19
"weight loss, coughing, fever",Tuberculosis
"runny nose, sneezing, sore throat, mild fever",Common Cold
"fever, weight loss, coughing",Tuberculosis
"fever, cough, chest pain, fatigue, shortness of breath",Pneumonia
"chest tightness, coughing, wheezing, shortness of breath",Asthma
"rash, congestion, itchy eyes, sneezing",Allergy
"vomiting, headache, sensitivity to sound, sensitivity to light",Migraine
"sweating, restlessness, nervousness, difficulty concentrating, increased heart rate",Anxiety
"restlessness, sweating, difficulty concentrating",Anxiety
"fever, weight loss, fatigue, coughing",Tuberculosis
"restlessness, increased heart rate, difficulty concentrating, nervousness, sweating",Anxiety
"loss of interest, fatigue, persistent sadness, insomnia",Depression
"sore throat, congestion, runny nose",Common Cold
"loss of appetite, fatigue, fever, itching",Chickenpox
"fever, shortness of breath, fatigue, cough",Pneumonia
"fever, cough, shortness of breath, fatigue, chest pain",Pneumonia
"headache, nosebleeds, dizziness",Hypertension
"sneezing, runny nose, rash, congestion",Allergy
"fever, night sweats, fatigue, coughing, weight loss",Tuberculosis
"headache, vomiting, nausea, sensitivity to light",Migraine
"itchy eyes, sneezing, congestion",Allergy
"runny nose, congestion, cough, mild fever, sore throat, sneezing",Common Cold
"loss of interest, persistent sadness, insomnia, changes in appetite",Depression
"fever, loss of appetite, fatigue, rash",Chickenpox
"fever, headache, fatigue, cough",Flu
"chills, fatigue, headache, fever",Flu
"runny nose, cough, sore throat, sneezing",Common Cold
"sore throat, congestion, runny nose, sneezing",Common Cold
"restlessness, nervousness, increased heart rate",Anxiety
"tiredness, dry cough, difficulty breathing, loss of taste",COVID-19
"fatigue, shortness of breath, cough",Pneumonia
"coughing, chest tightness, shortness of breath",Asthma
"chest tightness, wheezing, coughing",Asthma
"changes in appetite, loss of interest, insomnia, persistent sadness, fatigue",Depression
"headache, chills, sweating, fever",Malaria
"loss of interest, fatigue, insomnia",Depression
"chills, vomiting, headache",Malaria
"muscle aches, cough, headache",Flu
"vomiting, headache, nausea, chills, sweating, fever",Malaria
"slight fever, cough, shortness of breath",Bronchitis
"nervousness, sweating, increased heart rate",Anxiety
"runny nose, itchy eyes, congestion",Allergy
"headache, nausea, sensitivity to sound, sensitivity to light",Migraine
"shortness of breath, slight fever, cough, mucus, fatigue",Bronchitis
"insomnia, changes in appetite, fatigue, loss of interest, persistent sadness",Depression
"weight loss, fatigue, frequent urination, blurred vision",Diabetes
"difficulty concentrating, increased heart rate, sweating, restlessness, nervousness",Anxiety
"rash, loss of appetite, fever, fatigue",Chickenpox
"fever, itching, fatigue, loss of appetite, rash",Chickenpox
"increased heart rate, nervousness, restlessness, sweating",Anxiety
"rash, itchy eyes, sneezing, runny nose",Allergy
"chest pain, fever, cough",Pneumonia
"loss of appetite, fatigue, rash",Chickenpox
"fatigue, persistent sadness, changes in appetite, loss of interest, insomnia",Depression
"fatigue, shortness of breath, chest pain",Pneumonia
"nosebleeds, shortness of breath, headache",Hypertension
"fever, loss of taste, loss of smell, tiredness, dry cough",COVID-19
"nervousness, increased heart rate, difficulty concentrating, restlessness",Anxiety
"congestion, rash, itchy eyes, runny nose",Allergy
"fatigue, coughing, night sweats, weight loss, fever",Tuberculosis
"fever, cough, fatigue, shortness of breath",Pneumonia
"cough, sneezing, mild fever, runny nose, sore throat, congestion",Common Cold
"rash, fatigue, itching, fever, loss of appetite",Chickenpox
"itchy eyes, sneezing, runny nose, rash",Allergy
"nosebleeds, dizziness, headache",Hypertension
"headache, sensitivity to sound, nausea, sensitivity to light",Migraine
"night sweats, weight loss, coughing, fatigue, fever",Tuberculosis
"mucus, fatigue, cough, slight fever, shortness of breath",Bronchitis
"fatigue, fever, night sweats",Tuberculosis
"coughing, weight loss, fever, night sweats",Tuberculosis
"chest pain, cough, shortness of breath, fever, fatigue",Pneumonia
"sweating, nervousness, restlessness, difficulty concentrating, increased heart rate",Anxiety
"cough, shortness of breath, fatigue",Pneumonia
"dizziness, headache, shortness of breath, nosebleeds",Hypertension
"vomiting, chills, headache, fever",Malaria
"weight loss, night sweats, coughing",Tuberculosis
"fever, chest pain, fatigue, cough",Pneumonia
"nervousness, difficulty concentrating, restlessness, sweating",Anxiety
"sweating, nausea, fever",Malaria
"weight loss, blurred vision, increased thirst, frequent urination, fatigue",Diabetes
"vomiting, sweating, nausea",Malaria
"loss of appetite, rash, itching, fatigue",Chickenpox
"difficulty concentrating, nervousness, restlessness, increased heart rate, sweating",Anxiety
"coughing, fever, fatigue, weight loss",Tuberculosis
"headache, chills, fatigue, fever, cough, muscle aches",Flu
"chest pain, fatigue, shortness of breath, cough",Pneumonia
"shortness of breath, fatigue, cough, fever",Pneumonia
"difficulty concentrating, restlessness, increased heart rate",Anxiety
"cough, fever, chest pain, shortness of breath",Pneumonia
"shortness of breath, coughing, chest tightness",Asthma
"changes in appetite, fatigue, loss of interest",Depression
"rash, itching, loss of appetite, fatigue",Chickenpox
"weight loss, fatigue, coughing, fever, night sweats",Tuberculosis
"vomiting, sweating, nausea",Malaria
"fatigue, slight fever, cough, mucus",Bronchitis
"headache, vomiting, sensitivity to light, nausea, sensitivity to sound",Migraine
"shortness of breath, fever, fatigue",Pneumonia
"loss of interest, changes in appetite, fatigue",Depression
"cough, mucus, shortness of breath",Bronchitis
"wheezing, shortness of breath, coughing",Asthma
"chills, nausea, headache, sweating, fever",Malaria
"headache, nausea, sensitivity to sound",Migraine
"shortness of breath, coughing, chest tightness",Asthma
"rash, fatigue, itching, loss of appetite",Chickenpox
"vomiting, sensitivity to light, sensitivity to sound, nausea",Migraine
"mild fever, congestion, sore throat, cough, sneezing, runny nose",Common Cold
"vomiting, sensitivity to sound, nausea",Migraine
"rash, itchy eyes, runny nose",Allergy
"nausea, chills, headache, sweating, fever, vomiting",Malaria
"chest tightness, coughing, shortness of breath, wheezing",Asthma
"headache, fever, sweating, nausea",Malaria
"nausea, sensitivity to sound, headache",Migraine
"persistent sadness, loss of interest, fatigue, changes in appetite, insomnia",Depression
"headache, sensitivity to sound, vomiting, sensitivity to light, nausea",Migraine
"increased heart rate, restlessness, nervousness",Anxiety
"itchy eyes, rash, congestion",Allergy
"sneezing, runny nose, cough, congestion, sore throat, mild fever",Common Cold
"itchy eyes, runny nose, congestion, sneezing",Allergy
"vomiting, chills, headache, nausea",Malaria
"shortness of breath, cough, fever, chest pain",Pneumonia
"coughing, chest tightness, wheezing, shortness of breath",Asthma
"itchy eyes, runny nose, rash, congestion, sneezing",Allergy
"shortness of breath, wheezing, chest tightness",Asthma
"fatigue, changes in appetite, persistent sadness",Depression
"headache, shortness of breath, nosebleeds",Hypertension
"dry cough, difficulty breathing, loss of smell",COVID-19
"night sweats, fatigue, weight loss, fever",Tuberculosis
"dizziness, headache, shortness of breath",Hypertension
"fatigue, night sweats, fever, coughing, weight loss",Tuberculosis
"itchy eyes, rash, congestion, sneezing, runny nose",Allergy
"runny nose, sneezing, congestion, mild fever",Common Cold
"restlessness, nervousness, sweating",Anxiety
"chest pain, shortness of breath, fever, fatigue, cough",Pneumonia
"fever, chills, headache, nausea",Malaria
"vomiting, sensitivity to light, headache, sensitivity to sound, nausea",Migraine
"mucus, shortness of breath, fatigue, slight fever, cough",Bronchitis
"vomiting, sensitivity to sound, sensitivity to light, nausea, headache",Migraine
"shortness of breath, slight fever, cough",Bronchitis
"fatigue, shortness of breath, cough, fever, chest pain",Pneumonia
"runny nose, congestion, itchy eyes, rash, sneezing",Allergy
"weight loss, increased thirst, fatigue, frequent urination, blurred vision",Diabetes
"headache, fatigue, chills, muscle aches",Flu
"weight loss, fever, night sweats",Tuberculosis
"sweating, restlessness, difficulty concentrating",Anxiety
"loss of taste, loss of smell, difficulty breathing, fever, dry cough, tiredness",COVID-19
"chills, fatigue, cough, fever",Flu
"tiredness, fever, difficulty breathing, loss of smell, dry cough, loss of taste",COVID-19
"shortness of breath, coughing, wheezing",Asthma
"itching, rash, loss of appetite, fever, fatigue",Chickenpox
"blurred vision, fatigue, frequent urination, weight loss",Diabetes
"blurred vision, increased thirst, weight loss, fatigue, frequent urination",Diabetes
"headache, fatigue, chills, muscle aches",Flu
"congestion, sneezing, rash, itchy eyes, runny nose",Allergy
"nosebleeds, headache, dizziness, shortness of breath",Hypertension
"itching, loss of appetite, rash, fever, fatigue",Chickenpox
"cough, congestion, sneezing, runny nose",Common Cold
"weight loss, blurred vision, fatigue",Diabetes
"dizziness, nosebleeds, headache",Hypertension
"fatigue, itching, loss of appetite",Chickenpox
"rash, fever, loss of appetite, itching, fatigue",Chickenpox
"cough, fever, headache",Flu
"shortness of breath, dizziness, nosebleeds, headache",Hypertension
"slight fever, shortness of breath, fatigue, cough, mucus",Bronchitis
"fatigue, headache, muscle aches",Flu
"mild fever, sneezing, congestion",Common Cold
"sore throat, cough, mild fever, runny nose, congestion, sneezing",Common Cold
"sneezing, congestion, runny nose",Allergy
"itching, fever, fatigue, rash",Chickenpox
"slight fever, mucus, fatigue, cough",Bronchitis
"congestion, sneezing, cough",Common Cold
"loss of interest, insomnia, persistent sadness, changes in appetite, fatigue",Depression
"loss of smell, loss of taste, difficulty breathing, tiredness, fever, dry cough",COVID-19
"fatigue, cough, chills",Flu
"loss of taste, loss of smell, tiredness",COVID-19
"nervousness, difficulty concentrating, increased heart rate, restlessness, sweating",Anxiety
"sore throat, mild fever, runny nose, sneezing",Common Cold
"increased thirst, fatigue, frequent urination",Diabetes
"congestion, runny nose, rash",Allergy
"shortness of breath, cough, mucus, fatigue",Bronchitis
"vomiting, sensitivity to sound, sensitivity to light, nausea",Migraine
"vomiting, sensitivity to light, sensitivity to sound, headache, nausea",Migraine
"coughing, wheezing, shortness of breath",Asthma
"runny nose, sneezing, sore throat",Common Cold
"sweating, difficulty concentrating, nervousness, restlessness, increased heart rate",Anxiety
"nosebleeds, headache, dizziness, shortness of breath",Hypertension
"sneezing, itchy eyes, rash, runny nose, congestion",Allergy
"itchy eyes, sneezing, rash, congestion, runny nose",Allergy
"wheezing, shortness of breath, chest tightness",Asthma
"sweating, vomiting, nausea, fever",Malaria
"cough, slight fever, shortness of breath, mucus",Bronchitis
"headache, sensitivity to light, nausea",Migraine
"headache, nosebleeds, dizziness, shortness of breath",Hypertension
"headache, sensitivity to light, vomiting",Migraine
"runny nose, congestion, sneezing, rash, itchy eyes",Allergy
"dizziness, headache, shortness of breath",Hypertension
"chest tightness, coughing, wheezing",Asthma
"fever, shortness of breath, cough, chest pain, fatigue",Pneumonia
"itching, rash, loss of appetite, fever, fatigue",Chickenpox
"cough, fatigue, chills, headache, fever",Flu
"slight fever, shortness of breath, cough",Bronchitis
"coughing, wheezing, chest tightness",Asthma
"chest pain, cough, fatigue, shortness of breath, fever",Pneumonia
"weight loss, fatigue, blurred vision, frequent urination, increased thirst",Diabetes
"fever, itching, fatigue, loss of appetite",Chickenpox
"loss of taste, difficulty breathing, fever",COVID-19
"chills, vomiting, fever, sweating, headache",Malaria
"sensitivity to sound, vomiting, headache",Migraine
"loss of interest, changes in appetite, fatigue, insomnia",Depression
"fatigue, changes in appetite, insomnia, loss of interest",Depression
"coughing, shortness of breath, wheezing",Asthma
"rash, fatigue, itching, loss of appetite",Chickenpox
"fever, fatigue, chills",Flu
"frequent urination, weight loss, increased thirst, fatigue, blurred vision",Diabetes
"difficulty concentrating, increased heart rate, sweating",Anxiety
"cough, mucus, fatigue, shortness of breath, slight fever",Bronchitis
"shortness of breath, chest pain, fever, cough, fatigue",Pneumonia
"nosebleeds, dizziness, headache, shortness of breath",Hypertension
"insomnia, fatigue, loss of interest, changes in appetite",Depression
"sweating, nervousness, increased heart rate, difficulty concentrating, restlessness",Anxiety
"fever, muscle aches, fatigue, cough, chills, headache",Flu
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"night sweats, fever, coughing, fatigue, weight loss",Tuberculosis
"fatigue, cough, slight fever, shortness of breath, mucus",Bronchitis
"sore throat, congestion, runny nose, sneezing, mild fever, cough",Common Cold
"shortness of breath, mucus, cough, slight fever, fatigue",Bronchitis
"difficulty concentrating, restlessness, increased heart rate, sweating, nervousness",Anxiety
"persistent sadness, changes in appetite, insomnia",Depression
"itching, rash, loss of appetite, fatigue, fever",Chickenpox
"persistent sadness, changes in appetite, fatigue, loss of interest",Depression
"headache, sensitivity to sound, vomiting, sensitivity to light",Migraine
"fever, coughing, fatigue, weight loss",Tuberculosis
"wheezing, shortness of breath, coughing",Asthma
"loss of interest, changes in appetite, fatigue",Depression
"headache, dizziness, nosebleeds",Hypertension
"nausea, sensitivity to light, sensitivity to sound",Migraine
"cough, shortness of breath, slight fever, fatigue, mucus",Bronchitis
"nosebleeds, dizziness, shortness of breath",Hypertension
"weight loss, night sweats, fever, fatigue, coughing",Tuberculosis
"headache, fever, nausea, chills, sweating",Malaria
"frequent urination, weight loss, blurred vision, increased thirst, fatigue",Diabetes
"nosebleeds, dizziness, headache, shortness of breath",Hypertension
"fever, headache, cough",Flu
"itchy eyes, congestion, runny nose, sneezing, rash",Allergy
"fatigue, shortness of breath, fever, chest pain",Pneumonia
"cough, shortness of breath, fatigue, chest pain",Pneumonia
"muscle aches, fever, cough, headache, fatigue",Flu
"runny nose, sneezing, itchy eyes, congestion",Allergy
"fatigue, loss of interest, changes in appetite, persistent sadness",Depression
"nosebleeds, dizziness, headache",Hypertension
"difficulty concentrating, restlessness, sweating",Anxiety
"rash, loss of appetite, fatigue, itching",Chickenpox
"mucus, slight fever, shortness of breath, fatigue, cough",Bronchitis
"shortness of breath, wheezing, chest tightness",Asthma
"muscle aches, fatigue, chills, cough, headache",Flu
"sneezing, congestion, rash, itchy eyes, runny nose",Allergy
"fever, cough, chest pain, shortness of breath, fatigue",Pneumonia
"headache, fever, chills, sweating, vomiting",Malaria
"blurred vision, frequent urination, increased thirst",Diabetes
"itching, loss of appetite, fever",Chickenpox
"fatigue, fever, itching, rash",Chickenpox
"shortness of breath, cough, mucus, fatigue, slight fever",Bronchitis
"changes in appetite, loss of interest, fatigue, insomnia, persistent sadness",Depression
"nausea, vomiting, headache, sensitivity to sound, sensitivity to light",Migraine
"itchy eyes, runny nose, sneezing, congestion",Allergy
"fatigue, loss of appetite, rash",Chickenpox
"fever, shortness of breath, fatigue, chest pain, cough",Pneumonia
"vomiting, sweating, fever, nausea, chills",Malaria
"chills, fatigue, fever, muscle aches",Flu
"fatigue, cough, chest pain, shortness of breath",Pneumonia
"muscle aches, fever, fatigue, chills, cough, headache",Flu
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"slight fever, cough, fatigue, mucus",Bronchitis
"loss of interest, fatigue, persistent sadness, changes in appetite, insomnia",Depression
"sneezing, congestion, itchy eyes",Allergy
"mucus, shortness of breath, slight fever, cough, fatigue",Bronchitis
"itchy eyes, rash, runny nose, sneezing",Allergy
"dry cough, loss of smell, tiredness, fever, loss of taste",COVID-19
"congestion, mild fever, cough",Common Cold
"congestion, sneezing, itchy eyes, rash, runny nose",Allergy
"rash, fever, fatigue",Chickenpox
"nosebleeds, dizziness, headache, shortness of breath",Hypertension
"cough, fatigue, fever",Pneumonia
"sensitivity to light, sensitivity to sound, headache, vomiting",Migraine
"sneezing, runny nose, mild fever",Common Cold
"vomiting, sensitivity to light, nausea, sensitivity to sound, headache",Migraine
"cough, headache, fatigue, muscle aches, chills, fever",Flu
"fatigue, itching, fever",Chickenpox
"blurred vision, weight loss, increased thirst, fatigue",Diabetes
"headache, fever, chills, vomiting, sweating, nausea",Malaria
"sensitivity to light, sensitivity to sound, headache",Migraine
"headache, nosebleeds, shortness of breath, dizziness",Hypertension
"coughing, shortness of breath, wheezing, chest tightness",Asthma
"sneezing, congestion, mild fever, sore throat, cough, runny nose",Common Cold
"dry cough, loss of smell, fever, difficulty breathing, tiredness",COVID-19
"blurred vision, increased thirst, fatigue, frequent urination",Diabetes
"rash, loss of appetite, fatigue, itching",Chickenpox
"vomiting, sensitivity to sound, nausea",Migraine
"mucus, slight fever, fatigue, shortness of breath, cough",Bronchitis
"congestion, sneezing, sore throat, mild fever",Common Cold
"shortness of breath, headache, dizziness, nosebleeds",Hypertension
"night sweats, weight loss, fatigue, fever",Tuberculosis
"increased heart rate, restlessness, sweating, difficulty concentrating",Anxiety
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"loss of smell, difficulty breathing, fever, tiredness, dry cough, loss of taste",COVID-19
"fever, fatigue, itching, loss of appetite, rash",Chickenpox
"runny nose, itchy eyes, sneezing, rash, congestion",Allergy
"nosebleeds, headache, dizziness",Hypertension
"fatigue, itching, rash, loss of appetite",Chickenpox
"fatigue, loss of interest, changes in appetite, insomnia, persistent sadness",Depression
"cough, congestion, sore throat, mild fever",Common Cold
"coughing, shortness of breath, wheezing",Asthma
"increased heart rate, nervousness, restlessness, difficulty concentrating, sweating",Anxiety
"sensitivity to light, headache, vomiting",Migraine
"fatigue, loss of interest, changes in appetite, insomnia",Depression
"fever, cough, shortness of breath",Pneumonia
"sneezing, rash, runny nose",Allergy
"fatigue, fever, loss of appetite, itching, rash",Chickenpox
"restlessness, sweating, difficulty concentrating, nervousness, increased heart rate",Anxiety
"fatigue, frequent urination, increased thirst, weight loss",Diabetes
"fatigue, shortness of breath, chest pain, cough, fever",Pneumonia
"fatigue, changes in appetite, insomnia",Depression
"vomiting, sensitivity to sound, nausea, sensitivity to light, headache",Migraine
"insomnia, persistent sadness, fatigue",Depression
"wheezing, chest tightness, coughing",Asthma
"loss of taste, fever, difficulty breathing, loss of smell, dry cough, tiredness",COVID-19
"fatigue, changes in appetite, loss of interest",Depression
"fatigue, loss of interest, insomnia, persistent sadness",Depression
"nausea, vomiting, headache",Migraine
"sweating, headache, chills",Malaria
"fever, weight loss, night sweats, coughing",Tuberculosis
"nausea, chills, sweating, headache, vomiting",Malaria
"itching, fatigue, fever, loss of appetite",Chickenpox
"changes in appetite, persistent sadness, loss of interest",Depression
"fatigue, rash, fever",Chickenpox
"cough, shortness of breath, mucus, fatigue",Bronchitis
"shortness of breath, mucus, fatigue, cough",Bronchitis
"shortness of breath, cough, mucus",Bronchitis
"headache, chills, muscle aches",Flu
"increased heart rate, sweating, nervousness",Anxiety
"mucus, cough, slight fever, shortness of breath, fatigue",Bronchitis
"fatigue, cough, shortness of breath",Bronchitis
"loss of taste, dry cough, difficulty breathing, loss of smell",COVID-19
"increased thirst, fatigue, frequent urination",Diabetes
"nosebleeds, dizziness, shortness of breath",Hypertension
"runny nose, sneezing, rash",Allergy
"fatigue, weight loss, frequent urination, increased thirst, blurred vision",Diabetes
"chills, fever, nausea",Malaria
"shortness of breath, fatigue, mucus, slight fever",Bronchitis
"weight loss, fatigue, frequent urination",Diabetes
"sensitivity to light, sensitivity to sound, headache, nausea",Migraine
"blurred vision, weight loss, increased thirst, fatigue",Diabetes
"sneezing, cough, sore throat, runny nose",Common Cold
"fatigue, cough, muscle aches, chills, fever",Flu
"headache, nosebleeds, shortness of breath, dizziness",Hypertension
"fever, rash, itching, loss of appetite, fatigue",Chickenpox
"rash, loss of appetite, fatigue, fever, itching",Chickenpox
"wheezing, shortness of breath, coughing",Asthma
"restlessness, sweating, nervousness, difficulty concentrating",Anxiety
"shortness of breath, cough, fever",Pneumonia
"itchy eyes, congestion, rash, runny nose, sneezing",Allergy
"headache, fever, nausea",Malaria
"nausea, sweating, headache, fever, chills, vomiting",Malaria
"headache, sensitivity to light, nausea",Migraine
"fatigue, chills, headache, cough, fever, muscle aches",Flu
"fatigue, coughing, night sweats, weight loss, fever",Tuberculosis
"sensitivity to sound, nausea, sensitivity to light, vomiting, headache",Migraine
"cough, fatigue, fever, shortness of breath, chest pain",Pneumonia
"headache, nosebleeds, dizziness",Hypertension
"weight loss, blurred vision, fatigue",Diabetes
